WARNING: ../pv2stall/pv2stall-sim.v:154: $readmemh: Standard inconsistency, following 1364-2005.
VCD info: dumpfile ../tests/build/vmh/parcv1-sw.vcd opened for output.
{ xxxxxxxx |        |        |        |        }
{ xxxxxxxx |        |        |        |        }
{ xxxxxxxx |        |        |        |        }
{ 00080000 |  (-_-) |  (-_-) |  (-_-) |  (-_-) }
{ 00080000 |  (-_-) |  (-_-) |  (-_-) |  (-_-) }
{ 00080004 |  lui   |  (-_-) |  (-_-) |  (-_-) }
{#00080008 |# addiu |  lui   |  (-_-) |  (-_-) }
{#00080008 |# addiu |  (-_-) |  lui   |  (-_-) }
{#00080008 |# addiu |  (-_-) |  (-_-) |  lui   }
{ 00080008 |  addiu |  (-_-) |  (-_-) |  (-_-) }
{ 0008000c |  addiu |  addiu |  (-_-) |  (-_-) }
{#00080010 |# sw    |  addiu |  addiu |  (-_-) }
{#00080010 |# sw    |  (-_-) |  addiu |  addiu }
{#00080010 |# sw    |  (-_-) |  (-_-) |  addiu }
{ 00080010 |  sw    |  (-_-) |  (-_-) |  (-_-) }
{ 00080014 |  lw    |  sw    |  (-_-) |  (-_-) }
{ 00080018 |  addiu |  lw    |  sw    |  (-_-) }
{ 0008001c |  addiu |  addiu |  lw    |  sw    }
{#00080020 |# bne   |  addiu |  addiu |  lw    }
{#00080020 |# bne   |  (-_-) |  addiu |  addiu }
{#00080020 |# bne   |  (-_-) |  (-_-) |  addiu }
{ 00080020 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 00080024 |  lui   |  bne   |  (-_-) |  (-_-) }
{#00080028 |# addiu |  lui   |  bne   |  (-_-) }
{#00080028 |# addiu |  (-_-) |  lui   |  bne   }
{#00080028 |# addiu |  (-_-) |  (-_-) |  lui   }
{ 00080028 |  addiu |  (-_-) |  (-_-) |  (-_-) }
{ 0008002c |  addiu |  addiu |  (-_-) |  (-_-) }
{#00080030 |# sw    |  addiu |  addiu |  (-_-) }
{#00080030 |# sw    |  (-_-) |  addiu |  addiu }
{#00080030 |# sw    |  (-_-) |  (-_-) |  addiu }
{ 00080030 |  sw    |  (-_-) |  (-_-) |  (-_-) }
{ 00080034 |  lw    |  sw    |  (-_-) |  (-_-) }
{ 00080038 |  addiu |  lw    |  sw    |  (-_-) }
{ 0008003c |  addiu |  addiu |  lw    |  sw    }
{#00080040 |# bne   |  addiu |  addiu |  lw    }
{#00080040 |# bne   |  (-_-) |  addiu |  addiu }
{#00080040 |# bne   |  (-_-) |  (-_-) |  addiu }
{ 00080040 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 00080044 |  lui   |  bne   |  (-_-) |  (-_-) }
{#00080048 |# addiu |  lui   |  bne   |  (-_-) }
{#00080048 |# addiu |  (-_-) |  lui   |  bne   }
{#00080048 |# addiu |  (-_-) |  (-_-) |  lui   }
{ 00080048 |  addiu |  (-_-) |  (-_-) |  (-_-) }
{ 0008004c |  addiu |  addiu |  (-_-) |  (-_-) }
{#00080050 |# sw    |  addiu |  addiu |  (-_-) }
{#00080050 |# sw    |  (-_-) |  addiu |  addiu }
{#00080050 |# sw    |  (-_-) |  (-_-) |  addiu }
{ 00080050 |  sw    |  (-_-) |  (-_-) |  (-_-) }
{ 00080054 |  lw    |  sw    |  (-_-) |  (-_-) }
{ 00080058 |  addiu |  lw    |  sw    |  (-_-) }
{ 0008005c |  addiu |  addiu |  lw    |  sw    }
