WARNING: ../pv2byp/pv2byp-sim.v:154: $readmemh: Standard inconsistency, following 1364-2005.
VCD info: dumpfile ../ubmark/build/vmh/ubmark-bin-search.vcd opened for output.
{ xxxxxxxx |        |        |        |        }
{ xxxxxxxx |        |        |        |        }
{ xxxxxxxx |        |        |        |        }
{ 00080000 |  (-_-) |  (-_-) |  (-_-) |  (-_-) }
{ 00080000 |  (-_-) |  (-_-) |  (-_-) |  (-_-) }
{ 00080004 |  lui   |  (-_-) |  (-_-) |  (-_-) }
{ 00080008 |  ori   |  lui   |  (-_-) |  (-_-) }
{-0008000c-|  j     |  ori   |  lui   |  (-_-) }
{ 00001000 |  (-_-) |  j     |  ori   |  lui   }
{ 00001004 |  lui   |  (-_-) |  j     |  ori   }
{#00001008 |# addiu |  lui   |  (-_-) |  j     }
{#00001008 |# addiu |  (-_-) |  lui   |  (-_-) }
{#00001008 |# addiu |  (-_-) |  (-_-) |  lui   }
{ 00001008 |  addiu |  (-_-) |  (-_-) |  (-_-) }
{-0000100c-|  j     |  addiu |  (-_-) |  (-_-) }
{ 00001020 |  (-_-) |  j     |  addiu |  (-_-) }
{-00001024-|  jal   |  (-_-) |  j     |  addiu }
{ 00001570 |  (-_-) |  jal   |  (-_-) |  j     }
{ 00001574 |  addiu |  (-_-) |  jal   |  (-_-) }
{#00001578 |# sw    |  addiu |  (-_-) |  jal   }
{#00001578 |# sw    |  (-_-) |  addiu |  (-_-) }
{#00001578 |# sw    |  (-_-) |  (-_-) |  addiu }
{ 00001578 |  sw    |  (-_-) |  (-_-) |  (-_-) }
{ 0000157c |  sw    |  sw    |  (-_-) |  (-_-) }
{ 00001580 |  sw    |  sw    |  sw    |  (-_-) }
{ 00001584 |  addu  |  sw    |  sw    |  sw    }
{ 00001588 |  addiu |  addu  |  sw    |  sw    }
{#0000158c |# sw    |  addiu |  addu  |  sw    }
{#0000158c |# sw    |  (-_-) |  addiu |  addu  }
{#0000158c |# sw    |  (-_-) |  (-_-) |  addiu }
{ 0000158c |  sw    |  (-_-) |  (-_-) |  (-_-) }
{ 00001590 |  sw    |  sw    |  (-_-) |  (-_-) }
{ 00001594 |  sw    |  sw    |  sw    |  (-_-) }
{ 00001598 |  sw    |  sw    |  sw    |  sw    }
{ 0000159c |  sw    |  sw    |  sw    |  sw    }
{ 000015a0 |  sw    |  sw    |  sw    |  sw    }
{ 000015a4 |  sw    |  sw    |  sw    |  sw    }
{ 000015a8 |  sw    |  sw    |  sw    |  sw    }
{ 000015ac |  sw    |  sw    |  sw    |  sw    }
{ 000015b0 |  sw    |  sw    |  sw    |  sw    }
{ 000015b4 |  addu  |  sw    |  sw    |  sw    }
{ 000015b8 |  addu  |  addu  |  sw    |  sw    }
{ 000015bc |  addiu |  addu  |  addu  |  sw    }
{#000015c0 |# mtc0  |  addiu |  addu  |  addu  }
{#000015c0 |# mtc0  |  (-_-) |  addiu |  addu  }
{#000015c0 |# mtc0  |  (-_-) |  (-_-) |  addiu }
{ 000015c0 |  mtc0  |  (-_-) |  (-_-) |  (-_-) }
{ 000015c4 |  nop   |  mtc0  |  (-_-) |  (-_-) }
{ 000015c8 |  nop   |  nop   |  mtc0  |  (-_-) }
{ 000015cc |  nop   |  nop   |  nop   |  mtc0  }
{ 000015d0 |  nop   |  nop   |  nop   |  nop   }
{ 000015d4 |  nop   |  nop   |  nop   |  nop   }
